time,interval,encR,encL,wR,wL,wdotR,wdotL,wddotR,wddotL,pwmR,pwmL,x,y,theta,x_ref,y_ref,theta_ref,vel_v,vel_w,e_x,e_y,e_theta,u_R,u_L,tau_R,tau_L
1548676007.400653,0.030347108840942383,594,429,5.829126993965436,6.135923151542564,0.0,-7.669903939428213,0.0,-383.4951969714106,641.78450445691146,278.28501335030688,0.13013015610624284,0.082383126458977343,-0.047360948282446913,0.13998768211276083,0.0092265680414772861,0.14040699005126953,0.0,0.0,0.020021472732470336,-0.070032250088234521,0.19007273779390194,1.1875099512510454,0.067149336920516445,0.035653723170884971,0.015459204732909973
1548676007.447856,0.04602408409118652,613,449,5.829126993965436,6.135923151542564,0.0,0.0,0.0,191.7475984857053,641.78450445691146,278.28501335030688,0.13652834156109281,0.084607422423111228,-0.047305106425414814,0.13998768211276083,0.0092265680414772861,0.14040699005126953,0.0,0.0,0.020021472732470336,-0.070032250088234521,0.19007273779390194,1.1875099512510454,0.067149336920516445,0.035653723170884971,0.015459204732909973
1548676007.479598,0.03037881851196289,633,470,6.135923151542564,6.442719309119693,7.669903939428213,7.669903939428213,191.7475984857053,191.7475984857053,633.43843868329839,268.51841860340676,0.14139052921917478,0.086449482968083843,-0.052037667626580811,0.14843085623983174,0.010419900869515263,0.14893407821655272,0.0,0.0,0.013747127976836616,-0.074365535629125387,0.19976690939460973,1.1641097702018974,0.067419448106749505,0.035190052850128689,0.014916667268552893
1548676007.529321,0.04743385314941406,653,490,6.135923151542564,6.135923151542564,0.0,-7.669903939428213,-191.7475984857053,-383.4951969714106,633.43843868329839,268.51841860340676,0.14977783868848807,0.089393631657622846,-0.048880661221906277,0.14843085623983174,0.010419900869515263,0.14893407821655272,0.0,0.0,0.013747127976836616,-0.074365535629125387,0.19976690939460973,1.1641097702018974,0.067419448106749505,0.035190052850128689,0.014916667268552893
1548676007.565165,0.03076004981994629,673,510,6.135923151542564,6.135923151542564,0.0,0.0,0.0,191.7475984857053,633.43843868329839,268.51841860340676,0.15413126893357876,0.090948448653974126,-0.049448445946770364,0.15711316736144629,0.011722639317013919,0.15771358013153075,0.0,0.0,0.0068942504073436304,-0.078981579464146773,0.20716202607830111,1.1641097702018974,0.067419448106749505,0.035190052850128689,0.014916667268552893
1548676007.60785,0.04458189010620117,693,530,6.135923151542564,6.135923151542564,0.0,0.0,0.0,0.0,623.19644854159219,259.40354192848719,0.16159746656924404,0.093245152460736461,-0.049517578066927331,0.15711316736144629,0.011722639317013919,0.15771358013153075,0.0,0.0,0.0068942504073436304,-0.078981579464146773,0.20716202607830111,1.1390997092133985,0.067204815308656768,0.034621002265118758,0.014410285231057363
1548676007.639629,0.029103994369506836,714,550,6.442719309119693,6.135923151542564,7.669903939428213,0.0,191.7475984857053,0.0,623.19644854159219,259.40354192848719,0.16677465365406394,0.094665219340046097,-0.050136975579623697,0.15711316736144629,0.011722639317013919,0.15771358013153075,0.0,0.0,0.0068942504073436304,-0.078981579464146773,0.20716202607830111,1.1390997092133985,0.067204815308656768,0.034621002265118758,0.014410285231057363
1548676007.687945,0.04489398002624512,735,571,6.442719309119693,6.442719309119693,0.0,7.669903939428213,-191.7475984857053,191.7475984857053,615.83830659208604,248.39469854911144,0.17375752556229815,0.096919163882638174,-0.052124482915457113,0.16559350239077439,0.013071303937846,0.16630048751831053,0.0,0.0,0.00028725552608982029,-0.082481160013487501,0.21782833806698165,1.1136245040316231,0.06789926495986931,0.034174668160416054,0.01376118551294373
1548676007.721072,0.03196978569030762,755,591,6.135923151542564,6.135923151542564,-7.669903939428213,-7.669903939428213,-191.7475984857053,-383.4951969714106,615.83830659208604,248.39469854911144,0.17878090013231435,0.098675053628226289,-0.056398932200111149,0.16559350239077439,0.013071303937846,0.16630048751831053,0.0,0.0,0.00028725552608982029,-0.082481160013487501,0.21782833806698165,1.1136245040316231,0.06789926495986931,0.034174668160416054,0.01376118551294373
1548676007.7701,0.04648089408874512,775,609,6.135923151542564,5.522330836388308,0.0,-15.339807878856403,191.7475984857053,-191.74759848570474,615.83830659208604,248.39469854911144,0.18541340646645757,0.10074217556383815,-0.046057008223327658,0.17391686925737346,0.014468386887067055,0.17474029064178465,0.0,0.0,-0.0061859724553257759,-0.086178497116744524,0.22148142979183899,1.0904150823510963,0.06735334355076851,0.034174668160416054,0.01376118551294373
1548676007.799669,0.03061509132385254,796,626,6.442719309119693,5.2155346788111805,7.669903939428213,-7.669903939428191,191.7475984857053,191.7475984857053,604.74580382423028,240.17044467748181,0.1894013822245095,0.10197947737909326,-0.047283177803033448,0.17391686925737346,0.014468386887067055,0.17474029064178465,0.0,0.0,-0.0061859724553257759,-0.086178497116744524,0.22148142979183899,1.0904150823510963,0.06735334355076851,0.033595966447487538,0.013341882093609592
1548676007.847118,0.04455399513244629,816,641,6.135923151542564,4.601942363656923,-7.669903939428213,-15.339807878856426,-383.4951969714106,-191.74759848570588,604.74580382423028,240.17044467748181,0.19574520868014522,0.10495979238725477,-0.030264744499242602,0.17391686925737346,0.014468386887067055,0.17474029064178465,0.0,0.0,-0.0061859724553257759,-0.086178497116744524,0.22148142979183899,1.0904150823510963,0.06735334355076851,0.033595966447487538,0.013341882093609592
1548676007.880219,0.030227184295654297,836,654,6.135923151542564,3.9883500485026673,0.0,-15.339807878856403,191.7475984857053,5.773159728050814e-13,588.66599214748749,240.8626197379657,0.19979323565665924,0.10724129860099979,-0.013081714933708509,0.18198835986608711,0.015893334306115291,0.18293659687042235,0.0,0.0,-0.012529578117697466,-0.089870892060976537,0.20932497981471429,1.0722820431295181,0.064161585552674552,0.032740140884705698,0.013417986969863578
1548676007.92787,0.04624009132385254,856,666,6.135923151542564,3.6815538909255388,0.0,-7.669903939428213,0.0,191.74759848570474,588.66599214748749,240.8626197379657,0.20477833140335669,0.10991943401163334,0.0057059450613974353,0.18198835986608711,0.015893334306115291,0.18293659687042235,0.0,0.0,-0.012529578117697466,-0.089870892060976537,0.20932497981471429,1.0722820431295181,0.064161585552674552,0.032740140884705698,0.013417986969863578
1548676007.960905,0.030176162719726562,876,676,6.135923151542564,3.067961575771282,0.0,-15.339807878856416,0.0,-191.74759848570505,588.66599214748749,240.8626197379657,0.20787402534342492,0.11166188859044616,0.016277292112815093,0.19037553044375344,0.017445002765023872,0.19146609306335449,0.0,0.0,-0.012529578117697466,-0.089870892060976537,0.20932497981471429,1.0722820431295181,0.064161585552674552,0.032740140884705698,0.013417986969863578
1548676008.007172,0.04605293273925781,896,686,6.135923151542564,3.067961575771282,0.0,0.0,0.0,383.4951969714104,565.79281918994229,255.06672942814095,0.21249617425591785,0.11437894947892696,0.044581473753331054,0.19037553044375344,0.017445002765023872,0.19146609306335449,0.0,0.0,-0.019029704887997358,-0.093919589172175466,0.1751888009505394,1.0593435878086581,0.05710595631689111,0.031431911745582651,0.014169862530189646
1548676008.040237,0.0316929817199707,915,694,5.829126993965436,2.454369260617026,-7.669903939428213,-15.339807878856403,-191.7475984857053,-383.49519697141005,565.79281918994229,255.06672942814095,0.21539238159583615,0.11601380267727469,0.063184520570554223,0.19037553044375344,0.017445002765023872,0.19146609306335449,0.0,0.0,-0.019029704887997358,-0.093919589172175466,0.1751888009505394,1.0593435878086581,0.05710595631689111,0.031431911745582651,0.014169862530189646
1548676008.087909,0.04590296745300293,935,702,6.135923151542564,2.454369260617026,7.669903939428213,0.0,383.4951969714106,383.49519697141005,538.6732219364095,273.49397779451328,0.21904357678823211,0.11868641806971178,0.086032028211050493,0.19875014420004861,0.019068342809463353,0.19999659061431885,0.0,0.0,-0.024882329653157918,-0.096296605006186725,0.12917560690889257,1.0498607911311348,0.048439510341292784,0.029962815894560957,0.01523119812407784
1548676008.119815,0.03033900260925293,954,712,5.829126993965436,3.067961575771282,-7.669903939428213,15.339807878856403,-383.4951969714106,383.49519697141005,538.6732219364095,273.49397779451328,0.22118636402840988,0.11998446896102806,0.10134875773070766,0.19875014420004861,0.019068342809463353,0.19999659061431885,0.0,0.0,-0.024882329653157918,-0.096296605006186725,0.12917560690889257,1.0498607911311348,0.048439510341292784,0.029962815894560957,0.01523119812407784
1548676008.170883,0.04579305648803711,972,726,5.522330836388308,4.295146206079795,-7.669903939428191,30.679615757712817,5.551115123125783e-13,383.49519697141034,538.6732219364095,273.49397779451328,0.22630121737841971,0.12310705651922109,0.10943296633546436,0.20725891348416031,0.020793125531478447,0.20867841243743895,0.0,0.0,-0.028958760244728134,-0.099185763440722205,0.098790315384902641,1.041283857833442,0.042138200913611888,0.029962815894560957,0.01523119812407784
1548676008.200255,0.03160285949707031,990,743,5.522330836388308,5.2155346788111805,0.0,23.00971181828464,191.74759848570477,-191.74759848570443,518.79430474154458,286.73895055932775,0.23013114012759819,0.1252666011021602,0.11205503538874148,0.20725891348416031,0.020793125531478447,0.20867841243743895,0.0,0.0,-0.028958760244728134,-0.099185763440722205,0.098790315384902641,1.041283857833442,0.042138200913611888,0.028858482738650281,0.015966723148187732
1548676008.247877,0.04577207565307617,1008,761,5.522330836388308,5.522330836388308,0.0,7.669903939428191,0.0,-383.4951969714112,518.79430474154458,286.73895055932775,0.23606859836675259,0.12873011283514646,0.11326002537751409,0.20725891348416031,0.020793125531478447,0.20867841243743895,0.0,0.0,-0.028958760244728134,-0.099185763440722205,0.098790315384902641,1.041283857833442,0.042138200913611888,0.028858482738650281,0.015966723148187732
1548676008.280058,0.030297040939331055,1027,780,5.829126993965436,5.829126993965436,7.669903939428191,7.669903939428191,191.74759848570477,0.0,511.90102792519269,281.96501168653674,0.24024192784927889,0.13101585956626616,0.11103960464297599,0.21551855869525655,0.022542197960558633,0.21712121963500974,0.0,0.0,-0.03333584417294623,-0.10370019063145386,0.105895371066765,1.0244611183807635,0.041735651603056638,0.028438025607371305,0.015663802483001532
1548676008.32726,0.04581308364868164,1047,799,6.135923151542564,5.829126993965436,7.669903939428213,0.0,5.551115123125783e-13,-191.74759848570477,511.90102792519269,281.96501168653674,0.24692189975098713,0.13455509443659144,0.1127304392140117,0.21551855869525655,0.022542197960558633,0.21712121963500974,0.0,0.0,-0.03333584417294623,-0.10370019063145386,0.105895371066765,1.0244611183807635,0.041735651603056638,0.028438025607371305,0.015663802483001532
