time,interval,wR,wL,wdotR,wdotL,pwmR,pwmL,theta,vel_v,vel_w,tau_R,tau_L,x,y,centroidX,centroidY,a_hat0,a_hat1,a_hat2,a_hat3,a_hat4
188.7481770515442,0.1007390022277832,0,0,0,0,0,0,2.9068307263348285,0.0,0.0,-0.00088245394944126004,0.0041075128613715754,-0.030491084576661526,-1.2026800941408415,-0.034282969615298607,-1.1810987107326707,2.0,2.0,0.01,0.01,0.01
188.84927320480347,0.1007390022277832,0,0,0,0,0,0,2.9070520755951463,0.0,0.0,-0.00088245394944126004,0.0041075128613715754,-0.030503009267044343,-1.20265875702362,-0.034282969615298607,-1.1810987107326707,2.0,2.0,0.01,0.01,0.01
188.9509551525116,0.1007390022277832,0,0,0,0,0,0,2.906494472405257,0.0,0.0,-0.00088245394944126004,0.0041075128613715754,-0.030516713503071322,-1.202679741851556,-0.034282969615298607,-1.1810987107326707,2.0,2.0,0.01,0.01,0.01
189.05224299430847,0.1007390022277832,0,0,0,0,0,0,2.9069489171743648,0.0,0.0,-0.00088245394944126004,0.0041075128613715754,-0.030514853444516502,-1.2026687052709715,-0.034282969615298607,-1.1810987107326707,2.0,2.0,0.01,0.01,0.01
189.1502730846405,0.1007390022277832,0,0,0,0,0,0,2.9065165693971897,0.0,0.0,-0.00088245394944126004,0.0041075128613715754,-0.030528451797138201,-1.2026771976365083,-0.034282969615298607,-1.1810987107326707,2.0,2.0,0.01,0.01,0.01
203.3687071800232,14.8110990524292,0,0,0,0,191.66448187748253,153.26710139813554,2.9065165693971897,0.0,0.0,0.010648026770971252,0.008514838966563085,-0.030528451797138201,-1.2026771976365083,-0.080469142388428908,-1.1961601581663373,2.0,2.0,0.01,0.01,0.01
203.38283109664917,0.012964010238647461,0,0,0,0,190.31229245246007,152.52471615657083,2.9065685241656714,0.0,0.0,0.010572905136247781,0.0084735953420317124,-0.030851698462570225,-1.2027164955182053,-0.080469142388428908,-1.1961601581663373,2.0,2.0,0.01,0.01,0.01
203.4826090335846,0.10014891624450684,0,0,0,0,184.43020875946439,153.46967774864072,2.919558494783872,0.0,0.0,0.010246122708859133,0.0085260932082578175,-0.031758052004981399,-1.2031809599467216,-0.080469142388428908,-1.1961601581663373,2.0,2.0,0.01,0.01,0.01
203.58281111717224,0.10015416145324707,0,0,0,0,164.81886455508078,148.63704115095624,2.9380917017295292,0.0,0.0,0.0091566035863933758,0.0082576133972753468,-0.035690111154635204,-1.2043133144481577,-0.080469142388428908,-1.1961601581663373,2.0,2.0,0.01,0.01,0.01
203.680988073349,0.09978604316711426,0,0,0,0,143.40439536682351,135.56579560724381,2.9508100401391575,0.0,0.0,0.0079669108537124174,0.0075314330892913232,-0.040820673090468537,-1.2043506693283332,-0.080469142388428908,-1.1961601581663373,2.0,2.0,0.01,0.01,0.01
